               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.018094,            0.011908,                   0,             0.96519,             0.99355,             0.99098,             0.72384,             0.00763,           0.0035814,                   0,           0.0077031,           0.0077031,           0.0077031
                  38,            0.021508,            0.011687,                   0,             0.96496,             0.98632,                0.99,              0.7102,           0.0077427,           0.0037092,                   0,           0.0075886,           0.0075886,           0.0075886
                  39,            0.020285,            0.011735,                   0,             0.96627,             0.98489,              0.9921,             0.73073,           0.0073155,           0.0035884,                   0,           0.0074725,           0.0074725,           0.0074725
                  40,            0.018703,            0.011396,                   0,             0.97232,             0.98135,             0.99039,             0.69626,           0.0080927,           0.0038305,                   0,            0.007355,            0.007355,            0.007355
                  41,            0.019802,            0.011666,                   0,             0.96749,             0.98066,             0.98933,             0.72377,           0.0077457,           0.0036388,                   0,           0.0072361,           0.0072361,           0.0072361
                  42,            0.018234,            0.011359,                   0,             0.97518,             0.98711,              0.9905,             0.74253,           0.0072778,           0.0034307,                   0,            0.007116,            0.007116,            0.007116
                  43,            0.018609,            0.011561,                   0,             0.97246,             0.98854,             0.99145,             0.73894,           0.0074621,           0.0034208,                   0,           0.0069948,           0.0069948,           0.0069948
                  44,            0.019822,            0.011652,                   0,             0.97108,              0.9863,             0.98962,             0.72283,           0.0077896,           0.0035555,                   0,           0.0068726,           0.0068726,           0.0068726
                  45,            0.019004,            0.011198,                   0,             0.97392,             0.98992,             0.99143,             0.73128,           0.0074489,           0.0034958,                   0,           0.0067495,           0.0067495,           0.0067495
                  46,            0.018767,            0.011296,                   0,             0.96967,             0.98484,             0.98854,             0.72619,           0.0076143,           0.0036345,                   0,           0.0066257,           0.0066257,           0.0066257
                  47,            0.018406,            0.011182,                   0,             0.98075,             0.98854,             0.99247,             0.75497,           0.0070023,           0.0032493,                   0,           0.0065013,           0.0065013,           0.0065013
                  48,             0.01727,            0.011096,                   0,             0.97131,             0.99424,             0.99226,             0.75436,           0.0070975,           0.0033969,                   0,           0.0063764,           0.0063764,           0.0063764
                  49,            0.017855,            0.011389,                   0,             0.97636,             0.97708,             0.99088,             0.74548,           0.0071542,           0.0034065,                   0,           0.0062512,           0.0062512,           0.0062512
                  50,            0.020367,            0.011471,                   0,             0.97448,              0.9914,             0.99139,              0.7483,           0.0071814,           0.0034522,                   0,           0.0061256,           0.0061256,           0.0061256
